Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_Platform,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Overhead,Jitting,1,367644.49,1000000,0.37
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Jitting,1,1766844.67,1000000,1.77
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Overhead,Jitting,2,381333.38,16000000,0.02
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Jitting,2,515288.95,16000000,0.03
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,1,3422.22,16000000,0
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,2,2444.44,32000000,0
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,3,4400,64000000,0
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,4,7333.33,128000000,0
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,5,13200,256000000,0
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,6,27866.67,512000000,0
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,7,202400.03,1024000000,0
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,8,116355.57,2048000000,0
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,9,192133.36,4096000000,0
LazarusBenchmarker.InvertMatrixByPtr,Lazarus.Benchmarker,LazarusBenchmarker,InvertMatrixByPtr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-JTAAMO(IterationCount=2),"Method=ADL, calli",1,Workload,Pilot,10,388666.72,8192000000,0
